Load time, 4, 4, 1, G, 0.004454
copy-compute-copy time, 4, 4, 1, G, 0.085517
cpu time, 4, 4, 1, G, 0.107258
Load time, 4, 4, 1, T, 0.004032
copy-compute-copy time, 4, 4, 1, T, 0.072868
cpu time, 4, 4, 1, T, 0.098427
Load time, 4, 4, 2, G, 0.004353
copy-compute-copy time, 4, 4, 2, G, 0.070833
cpu time, 4, 4, 2, G, 0.021903
Load time, 4, 4, 2, S, 0.003983
copy-compute-copy time, 4, 4, 2, S, 0.073759
cpu time, 4, 4, 2, S, 0.021850
Load time, 4, 4, 4, G, 0.003867
copy-compute-copy time, 4, 4, 4, G, 0.080072
cpu time, 4, 4, 4, G, 0.009028
Load time, 4, 4, 4, S, 0.004121
copy-compute-copy time, 4, 4, 4, S, 0.078911
cpu time, 4, 4, 4, S, 0.006902
Load time, 4, 8, 1, G, 0.004037
copy-compute-copy time, 4, 8, 1, G, 0.073744
cpu time, 4, 8, 1, G, 0.352643
Load time, 4, 8, 1, S, 0.004032
copy-compute-copy time, 4, 8, 1, S, 0.086484
cpu time, 4, 8, 1, S, 0.327983
Load time, 4, 8, 1, T, 0.004052
copy-compute-copy time, 4, 8, 1, T, 0.077021
cpu time, 4, 8, 1, T, 0.320037
Load time, 4, 8, 2, G, 0.001825
copy-compute-copy time, 4, 8, 2, G, 0.053483
cpu time, 4, 8, 2, G, 0.081075
Load time, 4, 8, 2, S, 0.004377
copy-compute-copy time, 4, 8, 2, S, 0.085852
cpu time, 4, 8, 2, S, 0.091829
Load time, 4, 8, 2, T, 0.004018
copy-compute-copy time, 4, 8, 2, T, 0.068028
cpu time, 4, 8, 2, T, 0.082548
Load time, 4, 8, 4, G, 0.004064
copy-compute-copy time, 4, 8, 4, G, 0.073684
cpu time, 4, 8, 4, G, 0.022953
Load time, 4, 8, 4, S, 0.004346
Load time, 4, 8, 4, T, 0.001938
copy-compute-copy time, 4, 8, 4, T, 0.074497
cpu time, 4, 8, 4, T, 0.023996
Load time, 6, 4, 1, G, 0.004289
copy-compute-copy time, 6, 4, 1, G, 0.086119
cpu time, 6, 4, 1, G, 0.084900
Load time, 6, 4, 1, T, 0.004356
copy-compute-copy time, 6, 4, 1, T, 0.072820
cpu time, 6, 4, 1, T, 0.114408
Load time, 6, 4, 2, G, 0.003761
copy-compute-copy time, 6, 4, 2, G, 0.068554
cpu time, 6, 4, 2, G, 0.021354
Load time, 6, 4, 4, G, 0.004053
copy-compute-copy time, 6, 4, 4, G, 0.071642
cpu time, 6, 4, 4, G, 0.013975
Load time, 6, 4, 4, S, 0.004085
Load time, 6, 4, 4, T, 0.003768
copy-compute-copy time, 6, 4, 4, T, 0.081391
cpu time, 6, 4, 4, T, 0.008722
Load time, 6, 8, 1, S, 0.004382
copy-compute-copy time, 6, 8, 1, S, 0.082727
cpu time, 6, 8, 1, S, 0.349478
Load time, 6, 8, 1, T, 0.003333
copy-compute-copy time, 6, 8, 1, T, 0.072649
cpu time, 6, 8, 1, T, 0.319862
Load time, 6, 8, 2, G, 0.004364
copy-compute-copy time, 6, 8, 2, G, 0.072825
cpu time, 6, 8, 2, G, 0.127292
Load time, 6, 8, 2, S, 0.004206
copy-compute-copy time, 6, 8, 2, S, 0.082681
cpu time, 6, 8, 2, S, 0.111410
Load time, 6, 8, 2, T, 0.004259
copy-compute-copy time, 6, 8, 2, T, 0.084098
cpu time, 6, 8, 2, T, 0.090495
Load time, 6, 8, 4, G, 0.004037
copy-compute-copy time, 6, 8, 4, G, 0.074862
cpu time, 6, 8, 4, G, 0.022567
Load time, 6, 8, 4, S, 0.004081
Load time, 6, 8, 4, T, 0.003792
copy-compute-copy time, 6, 8, 4, T, 0.081111
cpu time, 6, 8, 4, T, 0.027268
Load time, 8, 4, 1, G, 0.003755
copy-compute-copy time, 8, 4, 1, G, 0.077027
cpu time, 8, 4, 1, G, 0.080533
Load time, 8, 4, 1, S, 0.004034
copy-compute-copy time, 8, 4, 1, S, 0.072773
cpu time, 8, 4, 1, S, 0.080111
Load time, 8, 4, 1, T, 0.004296
copy-compute-copy time, 8, 4, 1, T, 0.074210
cpu time, 8, 4, 1, T, 0.102121
Load time, 8, 4, 2, G, 0.004044
